CUST,PRNCPL,SLSMN
S09241,F03,R36
S08943,F03,Z14
S08665,F03,R36
S01091,F03,R23
S09900,F03,R23
S01750,F03,Z14
S02543,F03,R29
S09483,F03,R24
S06925,F03,Z14
S00233,F03,R23
S04889,F03,R40
S09572,F03,R40
S11167,F03,R40
S00717,F03,Z14
S00449,F03,R24
S02907,F03,R23
S11262,F03,R36
S07491,F03,R23
S04458,F03,R36
S11037,F03,Z14
S00860,F03,Z14
S00865,F03,Z14
S08558,F03,R23
S10102,F03,R36
S10630,F03,R24
S10720,F03,R24
S04595,F03,R23
S02658,F03,R29
S10297,F03,Z14
S09356,F03,R40
S09133,F03,R24
S11303,F03,R40
S10279,F03,R24
S00614,F03,Z14
S10058,F03,R24
S07919,F03,R36
S10171,F03,R40
S10359,F03,R40
S11566,F03,R36
S10839,F03,R24
S11404,F03,Z14
S09265,F03,R36
S10378,F03,R40
S01340,F03,R40
S01466,F03,Z14
S10318,F03,Z14
S09138,F03,R24
S07070,F03,R24
S08768,F03,R23
S02475,F03,R23
S10126,F03,R24
S10044,F03,R24
S06912,F03,R24
S11273,F03,R40
S11122,F03,R24
S11349,F03,R40
S12026,F03,R29
S07683,F03,R23
S07658,F03,R24
S10523,F03,Z14
S11840,F03,R36
S11611,F03,R24
S01365,F03,R40
S11055,F03,R40
S07714,F03,Z14
S03921,F03,R40
S11153,F03,Z14
S07481,F03,R23
S02556,F03,R24
S08550,F03,Z14
S06999,F03,R36
S01318,F03,R24
S03811,F03,R40
S10606,F03,R23
S07935,F03,R24
S02492,F03,R24
S11111,F03,R36
S10176,F03,R24
S10327,F03,Z14
S01026,F03,R23
S11427,F03,R40
S00735,F03,Z14
S01372,F03,R40
S01496,F03,R40
S10308,F03,R36
S10848,F03,R36
S04470,F03,R24
S04491,F03,R23
S11130,F03,R24
S09550,F03,R23
S05415,F03,R36
S10793,F03,R40
S06908,F03,Z14
S09715,F03,R40
S04939,F03,R24
S00897,F03,R29
S11367,F03,R24
S06948,F03,R36
S09824,F03,Z14
S07425,F03,R40
S01134,F03,R24
S06543,F03,Z14
S09490,F03,R23
S06884,F03,R36
S11108,F03,R24
S00884,F03,R29
S09569,F03,R36
S12012,F03,Z14
S01187,F03,R24
S11126,F03,R24
S09368,F03,R40
